request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 8.253179, 0.137553
60, 780, 9.106066, 0.151768
60, 780, 8.750295, 0.145838
60, 780, 9.074441, 0.151241
60, 780, 8.198205, 0.136637
60, 780, 8.776405, 0.146273
60, 780, 9.151241, 0.152521
60, 780, 9.223612, 0.153727
60, 780, 8.290240, 0.138171
60, 780, 8.775142, 0.146252
60, 780, 8.199577, 0.136660
60, 780, 8.560209, 0.142670
60, 780, 8.779406, 0.146323
60, 780, 8.373899, 0.139565
60, 780, 8.228889, 0.137148
60, 780, 9.044702, 0.150745
60, 780, 8.379842, 0.139664
60, 780, 8.911345, 0.148522
60, 780, 8.224642, 0.137077
60, 780, 8.366177, 0.139436
60, 780, 8.206211, 0.136770
60, 780, 8.247889, 0.137465
60, 780, 9.048950, 0.150816
60, 780, 8.574624, 0.142910
60, 780, 8.222471, 0.137041
60, 780, 8.573739, 0.142896
60, 780, 9.042031, 0.150701
60, 780, 9.188290, 0.153138
60, 780, 8.986272, 0.149771
60, 780, 8.682655, 0.144711
60, 780, 9.107701, 0.151795
60, 780, 9.081448, 0.151357
60, 780, 8.523456, 0.142058
60, 780, 8.869412, 0.147824
60, 780, 8.668680, 0.144478
60, 780, 8.411022, 0.140184
60, 780, 9.188186, 0.153136
60, 780, 7.716561, 0.128609
60, 780, 8.614413, 0.143574
60, 780, 8.328598, 0.138810
60, 780, 8.811773, 0.146863
60, 780, 8.786427, 0.146440
60, 780, 9.148604, 0.152477
60, 780, 8.815275, 0.146921
60, 780, 8.813197, 0.146887
60, 780, 8.870728, 0.147845
60, 780, 9.148890, 0.152481
60, 780, 8.485143, 0.141419
60, 780, 8.820741, 0.147012
60, 780, 8.133089, 0.135551
60, 780, 8.780148, 0.146336
60, 780, 8.915919, 0.148599
60, 780, 8.924612, 0.148744
60, 780, 8.274262, 0.137904
60, 780, 8.678801, 0.144647
60, 780, 8.809043, 0.146817
60, 780, 8.123256, 0.135388
60, 780, 8.525654, 0.142094
60, 780, 9.141193, 0.152353
60, 780, 8.410389, 0.140173
60, 780, 8.789233, 0.146487
60, 780, 8.560921, 0.142682
60, 780, 8.913670, 0.148561
60, 780, 8.816508, 0.146942
60, 780, 8.608875, 0.143481
60, 780, 8.927126, 0.148785
60, 780, 8.026017, 0.133767
60, 780, 8.822461, 0.147041
60, 780, 9.146640, 0.152444
60, 780, 8.427010, 0.140450
60, 780, 7.728521, 0.128809
60, 780, 9.276435, 0.154607
60, 780, 8.822029, 0.147034
60, 780, 8.618638, 0.143644
60, 780, 8.911346, 0.148522
60, 780, 8.389544, 0.139826
60, 780, 8.764469, 0.146074
60, 780, 8.693297, 0.144888
60, 780, 8.315923, 0.138599
60, 780, 8.227289, 0.137121
60, 780, 8.946859, 0.149114
60, 780, 8.872431, 0.147874
60, 780, 9.305042, 0.155084
60, 780, 8.905285, 0.148421
60, 780, 8.443191, 0.140720
60, 780, 8.837820, 0.147297
60, 780, 8.662281, 0.144371
60, 780, 8.869514, 0.147825
60, 780, 8.720875, 0.145348
60, 780, 9.080486, 0.151341
60, 780, 9.133615, 0.152227
60, 780, 8.871660, 0.147861
60, 780, 8.884985, 0.148083
60, 780, 8.382786, 0.139713
60, 780, 9.013560, 0.150226
60, 780, 8.886039, 0.148101
60, 780, 8.501376, 0.141690
60, 780, 9.193822, 0.153230
60, 780, 9.088948, 0.151482
60, 780, 9.183906, 0.153065
60, 780, 8.472055, 0.141201
60, 780, 9.150113, 0.152502
60, 780, 8.722939, 0.145382
60, 780, 9.193242, 0.153221
60, 780, 8.912052, 0.148534
60, 780, 9.163020, 0.152717
60, 780, 8.641418, 0.144024
60, 780, 8.720130, 0.145336
